file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,54,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,1
style.css,55,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,15
style.css,56,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,11
style.css,57,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,22
style.css,58,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,59,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,60,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,6
style.css,61,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,20
style.css,62,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,3
style.css,63,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,64,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,65,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,5
style.css,66,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,13
style.css,67,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,31
style.css,68,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,8
style.css,69,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,70,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,71,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,6
style.css,72,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,18
style.css,73,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,74,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,75,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,24
style.css,76,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,18
style.css,77,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,22
style.css,78,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,79,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,80,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,7
style.css,81,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,19
style.css,82,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,18
style.css,83,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,84,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,85,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,13
style.css,86,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,13
style.css,87,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,59
style.css,88,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,8
style.css,89,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,90,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,91,css,f41a69b9,Haris Saif,2025-01-31,23:01:59,-08:00,2025-01-31T23:01:59-08:00,0,17
style.css,92,css,f41a69b9,Haris Saif,2025-01-31,23:01:59,-08:00,2025-01-31T23:01:59-08:00,0,14
style.css,93,css,f41a69b9,Haris Saif,2025-01-31,23:01:59,-08:00,2025-01-31T23:01:59-08:00,0,15
style.css,94,css,f41a69b9,Haris Saif,2025-01-31,23:01:59,-08:00,2025-01-31T23:01:59-08:00,0,0
style.css,95,css,f41a69b9,Haris Saif,2025-01-31,23:01:59,-08:00,2025-01-31T23:01:59-08:00,0,0
style.css,96,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,8
style.css,97,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,13
style.css,98,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,27
style.css,99,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,16
style.css,100,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,10
style.css,101,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,102,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,103,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,11
style.css,104,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,9
style.css,105,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,106,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,107,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,3
style.css,108,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,15
style.css,109,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,16
style.css,110,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,111,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,112,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,23
style.css,113,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,16
style.css,114,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,18
style.css,115,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,116,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,117,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,2
style.css,118,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,14
style.css,119,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,19
style.css,120,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,19
style.css,121,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,122,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,123,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,8
style.css,124,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,19
style.css,125,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,13
style.css,126,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,25
style.css,127,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,22
style.css,128,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,18
style.css,129,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,130,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,131,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,11
style.css,132,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,16
style.css,133,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,14
style.css,134,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,19
style.css,135,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,136,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,0
style.css,137,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,3
style.css,138,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,16
style.css,139,css,27a22018,Haris Saif,2025-01-18,19:46:12,-08:00,2025-01-18T19:46:12-08:00,0,18
